"RIL-seq RNA pairs identified in E. coli (stationary phase) by Melamed et. al., Moleceular Cell 2016 (Table S2)'. Coordinates - E. coli K12 MG1655 (NC_000913.2) ",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RNA1 name,RNA2 name,# of chimeric fragments,# of libraries,Odds Ratio,Normalized Odds Ratio,Fisher's exact test p-value,Free energy of hybridization (kcal/mol),Genomic annotation of RNA1,Genomic annotation of RNA2,RNA1 description,RNA2 description,RNA1 from,RNA1 to,RNA1 strand,RNA2 from,RNA2 to,RNA2 strand,Other fragments of RNA1,Other fragments of RNA2,Total other fragments,RNA1 in total RNA (# of reads),RNA2 in total RNA (# of reads),RNA1 IP/Total ratio,RNA2 IP/Total ratio,RNA1 EcoCyc ID,RNA2 EcoCyc ID,Code,Number
yodD,arcZ,472,2,8.3,1.8,3.36E-244,-14.2,CDS,sRNA,predicted protein,-,2022951,2023388,+,3348636,3348720,+,6908,189352,23059074,615,3175,22.5,111.9,G7046,G0-8871,arcZ::yodD,303
nuoM,arcZ,48,3,23.2,1.8,4.53E-39,-3.4,CDS,sRNA,"NADH:ubiquinone oxidoreductase, membrane subunit M",-,2390909,2391058,-,3348697,3348719,+,252,189776,23065730,70,3175,8.0,111.9,EG11773,G0-8871,arcZ::nuoM,138
hslR,arcZ,20,1,20.1,1.8,3.05E-12,-6.1,CDS,sRNA,ribosome-associated heat shock protein Hsp15,-,3527368,3527512,+,3348701,3348719,+,126,182538,23073122,29,1583,9.4,215.8,G7743,G0-8871,arcZ::hslR,92
ynfE,arcZ,16,U,13.1,1.7,3.72E-06,-6.0,CDS,sRNA,"probable selenate reductase, periplasmic",-,1656549,1656716,+,3348700,3348719,+,148,189808,23065834,22,3175,14.0,111.9,G6845,G0-8871,arcZ::ynfE,300
uspA,arcZ,375,2,8.7,1.7,4.90E-199,-7.6,CDS,sRNA,universal stress global response regulator,-,3637994,3638393,+,3348687,3348721,+,5256,189449,23060726,525,3175,20.1,111.9,EG11390,G0-8871,arcZ::uspA,226
maeA,arcZ,33,U,3.5,1.7,1.00E-02,-6.7,CDS,sRNA,"malate dehydrogenase, (decarboxylating, NAD-requiring) (malic enzyme)",-,1553431,1553590,-,3348691,3348719,+,1139,189791,23064843,44,3175,49.8,111.9,EG10948,G0-8871,arcZ::maeA,113
ybaM.mscK.IGR,arcZ,23,1,32.5,1.6,5.36E-19,-4.7,IGR,sRNA,- : predicted protein,-,489220,489288,-,3348700,3348719,+,86,189801,23065896,38,3175,5.4,111.9,EG12830.G6255.IGR,G0-8871,arcZ::ybaM.mscK.IGR,127
rsmA,arcZ,49,1,5.8,1.6,1.41E-14,-5.0,CDS,sRNA,"16S rRNA dimethyladenosine transferase, SAM-dependent",-,52401,52655,-,3348693,3348719,+,1031,189775,23064951,68,3175,29.7,111.9,EG10523,G0-8871,arcZ::rsmA,191
gadC,arcZ,63,3,19.8,1.6,4.47E-49,-11.6,CDS,sRNA,predicted glutamate:gamma-aminobutyric acid antiporter,-,1568413,1568497,-,3348687,3348720,+,387,189761,23065595,98,3175,8.6,111.9,G6786,G0-8871,arcZ::gadC,62
polA,arcZ,20,1,31.2,1.6,1.56E-15,-5.1,CDS,sRNA,fused DNA polymerase I 5'->3' polymerase/3'->5' exonuclease/5'->3' exonuclease,-,4045051,4045173,+,3348699,3348720,+,78,189804,23065904,34,3175,5.4,111.9,EG10746,G0-8871,arcZ::polA,159
secB,arcZ,79,2,4.0,1.6,1.55E-16,-7.1,CDS,sRNA,protein export chaperone,-,3782103,3782298,-,3348691,3348720,+,2423,189745,23063559,113,3175,41.4,111.9,EG10937,G0-8871,arcZ::secB,197
yeaC,arcZ,223,3,14.5,1.6,2.97E-159,-8.0,CDS,sRNA,conserved protein,-,1859717,1859984,-,3348688,3348720,+,1877,189601,23064105,352,3175,11.2,111.9,G6964,G0-8871,arcZ::yeaC,261
kefB,arcZ,23,1,11.4,1.5,6.89E-10,-13.2,CDS,sRNA,potassium:proton antiporter,-,3476830,3477096,-,3348685,3348719,+,245,189801,23065737,35,3175,14.3,111.9,EG20110,G0-8871,arcZ::kefB,99
malE,arcZ,40,2,11.0,1.5,2.23E-20,-6.3,CDS,sRNA,maltose transporter subunit,-,4244012,4244070,-,3348699,3348720,+,443,189784,23065539,63,3175,14.3,111.9,EG10554,G0-8871,arcZ::malE,115
oppA,arcZ,576,3,1.9,1.5,3.95E-38,-15.3,CDS,sRNA,oligopeptide transporter subunit,-,1299001,1299298,+,3348633,3348720,+,36552,189248,23029430,862,3175,80.6,111.9,EG10674,G0-8871,arcZ::oppA,148
ratA,arcZ,12,U,16.5,1.5,2.37E-04,-2.5,CDS,sRNA,-,-,2752340,2752381,-,3348715,3348719,+,92,182546,23073156,20,1583,9.7,215.8,G7358,G0-8871,arcZ::ratA,171
ycjG,arcZ,15,U,8.2,1.5,8.53E-03,-6.3,CDS,sRNA,L-Ala-D/L-Glu epimerase,-,1387646,1387913,+,3348701,3348719,+,231,182543,23073017,24,1583,19.2,215.8,G6661,G0-8871,arcZ::ycjG,256
dnaA,arcZ,20,U,6.2,1.5,1.87E-03,-6.0,CDS,sRNA,"chromosomal replication initiator protein DnaA, DNA-binding transcriptional dual regulator",-,3881647,3881777,-,3348702,3348719,+,406,182538,23072842,32,1583,24.9,215.8,EG10235,G0-8871,arcZ::dnaA,43
mepS.5UTR,arcZ,18,U,6.8,1.4,3.81E-03,-1.9,5UTR,sRNA,-,-,2267855,2267968,+,3348700,3348720,+,322,189806,23065660,28,3175,22.7,111.9,G7147.5UTR,G0-8871,arcZ::mepS,118
yqcA,arcZ,31,U,7.2,1.4,7.11E-10,-10.3,CDS,sRNA,predicted flavoprotein,-,2920614,2921033,-,3348640,3348719,+,520,189793,23065462,50,3175,20.6,111.9,G7448,G0-8871,arcZ::yqcA,309
mglA,arcZ,25,1,15.0,1.4,8.43E-14,-2.0,CDS,sRNA,fused methyl-galactoside transporter subunits of ABC superfamily: ATP-binding components,-,2237304,2237374,-,3348702,3348719,+,211,182533,23073037,45,1583,9.8,215.8,EG10592,G0-8871,arcZ::mglA,120
ychN,arcZ,25,1,15.1,1.4,7.24E-14,-7.9,CDS,sRNA,conserved protein,-,1272639,1272770,-,3348659,3348719,+,201,189799,23065781,44,3175,9.6,111.9,EG12404,G0-8871,arcZ::ychN,252
smrB,arcZ,59,1,3.4,1.3,2.83E-08,-6.2,CDS,sRNA,-,-,2446607,2446921,+,3348702,3348720,+,2193,182499,23071055,105,1583,40.1,215.8,G7202,G0-8871,arcZ::smrB,202
gyrA,arcZ,34,2,12.2,1.3,5.85E-18,-5.8,CDS,sRNA,"DNA gyrase (type II topoisomerase), subunit A",-,2335839,2335970,-,3348701,3348719,+,352,182524,23072896,66,1583,10.9,215.8,EG10423,G0-8871,arcZ::gyrA,84
queE,arcZ,45,1,4.7,1.2,9.99E-10,-7.1,CDS,sRNA,-,-,2903059,2903464,-,3348700,3348720,+,1168,189779,23064814,81,3175,28.0,111.9,G7443,G0-8871,arcZ::queE,170
maeB,arcZ,30,2,15.6,1.2,4.66E-18,-4.2,CDS,sRNA,fused malic enzyme predicted oxidoreductase/predicted phosphotransacetylase,-,2576321,2576392,-,3348700,3348719,+,233,189794,23065749,59,3175,8.3,111.9,G7293,G0-8871,arcZ::maeB,114
hybO,arcZ,24,1,11.1,1.2,2.76E-10,-3.5,CDS,sRNA,"hydrogenase 2, small subunit",-,3144219,3144292,-,3348699,3348719,+,263,189800,23065719,46,3175,11.7,111.9,G7554,G0-8871,arcZ::hybO,94
ycbJ,arcZ,59,1,4.0,1.2,3.73E-11,-11.0,CDS,sRNA,conserved protein,-,970950,971200,+,3348691,3348774,+,1803,189765,23064179,113,3175,30.8,111.9,G6473,G0-8871,arcZ::ycbJ,248
valS,arcZ,17,U,30.4,1.2,2.92E-12,-12.2,CDS,sRNA,valyl-tRNA synthetase,-,4481818,4481880,-,3348684,3348719,+,68,189807,23065914,39,3175,4.1,111.9,EG11067,G0-8871,arcZ::valS,230
clpS,arcZ,118,3,7.4,1.2,2.73E-52,-8.4,CDS,sRNA,regulatory protein for ClpA substrate specificity,-,922244,922388,+,3348669,3348719,+,1948,189706,23064034,235,3175,16.5,111.9,G6463,G0-8871,arcZ::clpS,30
hrpA,arcZ,47,2,8.7,1.2,8.77E-21,-4.9,CDS,sRNA,predicted ATP-dependent helicase,-,1481105,1481447,+,3348689,3348720,+,655,189777,23065327,95,3175,13.8,111.9,G6732,G0-8871,arcZ::hrpA,90
speB.loiP.IGR,arcZ,27,1,26.7,1.1,3.31E-21,-3.8,IGR,sRNA,- : agmatinase,-,3080688,3080863,-,3348700,3348720,+,123,189797,23065859,62,3175,4.5,111.9,EG10960.EG11291.IGR,G0-8871,arcZ::speB.loiP.IGR,107
otsB,arcZ,70,2,4.1,1.1,7.27E-15,-9.8,CDS,sRNA,"trehalose-6-phosphate phosphatase, biosynthetic",-,1979511,1979866,-,3348684,3348720,+,2074,189754,23063908,138,3175,29.1,111.9,EG11752,G0-8871,arcZ::otsB,152
priB,arcZ,201,2,9.5,1.1,9.59E-112,-5.4,CDS,sRNA,primosomal protein N,-,4423411,4423793,+,3348701,3348720,+,2663,182357,23070585,438,1583,12.2,215.8,EG10764,G0-8871,arcZ::priB,164
uvrB,arcZ,16,U,13.2,1.1,3.39E-06,-4.8,CDS,sRNA,"excinulease of nucleotide excision repair, DNA damage recognition component",-,812691,812861,+,3348699,3348719,+,147,189808,23065835,34,3175,9.0,111.9,EG11062,G0-8871,arcZ::uvrB,229
selD,arcZ,19,U,5.9,1.1,1.13E-02,-3.4,CDS,sRNA,selenophosphate synthase,-,1845409,1845500,-,3348702,3348719,+,406,182539,23072842,42,1583,18.9,215.8,EG10943,G0-8871,arcZ::selD,199
thrC,arcZ,12,U,12.4,1.0,5.05E-03,-8.5,CDS,sRNA,threonine synthase,-,3718,3772,+,3348700,3348719,+,118,189812,23065864,27,3175,9.0,111.9,EG11000,G0-8871,arcZ::thrC,213
ybeD,arcZ,17,1,25.8,1.0,3.14E-11,-3.6,CDS,sRNA,"conserved protein, UPF0250 family",-,661764,661794,-,3348700,3348719,+,80,189807,23065902,43,3175,4.2,111.9,EG11592,G0-8871,arcZ::ybeD,242
rpoN,arcZ,30,2,22.9,1.0,2.04E-22,-11.9,CDS,sRNA,"RNA polymerase, sigma 54 (sigma N) factor",-,3343009,3343068,+,3348684,3348719,+,159,189794,23065823,77,3175,4.6,111.9,EG10898,G0-8871,arcZ::rpoN,188
fumA,arcZ,24,1,8.7,1.0,4.43E-08,-8.6,CDS,sRNA,"fumarate hydratase (fumarase A), aerobic Class I",-,1685810,1685871,-,3348702,3348719,+,350,182534,23072898,58,1583,12.1,215.8,EG10356,G0-8871,arcZ::fumA,59
tolC.5UTR,arcZ,15,U,8.3,1.0,7.63E-03,-7.4,5UTR,sRNA,transport channel,-,3176008,3176098,+,3348702,3348719,+,229,182543,23073019,36,1583,12.7,215.8,EG11009.5UTR,G0-8871,arcZ::tolC,221
puuR,arcZ,13,U,15.3,1.0,8.76E-05,-7.7,CDS,sRNA,DNA-binding transcriptional repressor for the puu divergon,-,1359919,1360247,+,3348690,3348719,+,103,189811,23065879,32,3175,6.8,111.9,EG12431,G0-8871,arcZ::puuR,168
nuoE,arcZ,62,2,9.6,1.0,2.62E-31,-5.0,CDS,sRNA,"NADH:ubiquinone oxidoreductase, chain E",-,2399715,2399889,-,3348699,3348719,+,782,189762,23065200,150,3175,10.5,111.9,EG12086,G0-8871,arcZ::nuoE,137
tktB,arcZ,48,2,9.5,1.0,6.84E-23,-3.9,CDS,sRNA,"transketolase 2, thiamin-binding",-,2578312,2578463,+,3348693,3348719,+,613,189776,23065369,116,3175,10.7,111.9,EG12100,G0-8871,arcZ::tktB,216
yjdC,arcZ,32,U,3.6,1.0,7.67E-03,-11.8,CDS,sRNA,predicted transcriptional regulator,-,4361230,4361462,-,3348689,3348719,+,1066,189792,23064916,74,3175,27.8,111.9,EG12176,G0-8871,arcZ::yjdC,291
diaA,arcZ,14,U,9.9,1.0,3.12E-03,-4.7,CDS,sRNA,DnaA initiator-associating factor for replication initiation,-,3294243,3294392,+,3348702,3348720,+,179,182544,23073069,35,1583,10.3,215.8,EG12780,G0-8871,arcZ::diaA,41
acs,arcZ,27,1,9.0,1.0,4.60E-10,-2.1,CDS,sRNA,acetyl-CoA synthetase,-,4285202,4285390,-,3348711,3348720,+,381,182531,23072867,68,1583,11.2,215.8,EG11448,G0-8871,acs::arcZ,16
pepP,arcZ,33,U,3.9,0.9,8.98E-04,-7.0,CDS,sRNA,proline aminopeptidase P II,-,3052742,3052862,-,3348699,3348719,+,1030,189791,23064952,78,3175,25.5,111.9,EG10697,G0-8871,arcZ::pepP,154
gpmA,arcZ,30,2,26.2,0.9,6.13E-24,-8.2,CDS,sRNA,phosphoglyceromutase 1,-,786109,786157,-,3348638,3348719,+,139,189794,23065843,85,3175,3.7,111.9,EG11699,G0-8871,arcZ::gpmA,77
folA,arcZ,12,U,10.7,0.9,2.23E-02,-4.6,CDS,sRNA,dihydrofolate reductase,-,49597,49941,+,3348700,3348719,+,136,189812,23065846,30,3175,9.2,111.9,EG10326,G0-8871,arcZ::folA,57
lpxC,arcZ,458,3,18.2,0.9,0.00E+00,-14.2,CDS,sRNA,UDP-3-O-acyl N-acetylglucosamine deacetylase,-,106235,106647,+,3348688,3348720,+,3061,189366,23062921,1279,3175,5.1,111.9,EG10265,G0-8871,arcZ::lpxC,110
dnaK,arcZ,63,2,7.1,0.9,6.39E-25,-4.0,CDS,sRNA,"chaperone Hsp70, co-chaperone with DnaJ",-,13706,13790,+,3348699,3348720,+,1073,189761,23064909,167,3175,12.7,111.9,EG10241,G0-8871,arcZ::dnaK,44
djlA,arcZ,16,1,15.1,0.9,5.42E-07,-3.9,CDS,sRNA,"DnaJ-like protein, membrane anchored",-,57262,57467,+,3348699,3348719,+,129,189808,23065853,45,3175,6.0,111.9,EG11570,G0-8871,arcZ::djlA,42
ompC,arcZ,1439,3,4.0,0.8,0.00E+00,-10.0,CDS,sRNA,outer membrane porin protein C,-,2310204,2310698,-,3348621,3348721,+,43460,188385,23022522,3862,3175,21.8,111.9,EG10670,G0-8871,arcZ::ompC,140
yfgD,arcZ,35,1,5.1,0.8,1.49E-07,-9.0,CDS,sRNA,predicted oxidoreductase,-,2615605,2615881,+,3348699,3348719,+,827,189789,23065155,94,3175,17.2,111.9,G7312,G0-8871,arcZ::yfgD,272
gcvH,arcZ,89,2,3.8,0.8,9.18E-18,-8.6,CDS,sRNA,glycine cleavage complex lipoylprotein,-,3047536,3047626,-,3348697,3348719,+,2878,189735,23063104,239,3175,23.2,111.9,EG10371,G0-8871,arcZ::gcvH,66
tnaA,arcZ,244,3,12.8,0.8,1.17E-163,-12.0,CDS,sRNA,"tryptophanase/L-cysteine desulfhydrase, PLP-dependent",-,3886901,3887097,+,3348688,3348720,+,2319,189580,23063663,715,3175,6.7,111.9,EG11005,G0-8871,arcZ::tnaA,218
hflX.hflK.IGT,arcZ,135,1,2.6,0.8,5.45E-15,-5.2,IGT,sRNA,"GTPase, stimulated by 50S subunit binding : modulator for HflB protease specific for phage lambda cII repressor",-,4399902,4400123,+,3348688,3348719,+,6312,189689,23059670,366,3175,33.0,111.9,EG10437.EG10436.IGT,G0-8871,arcZ::hflX.hflK.IGT,88
mutL,arcZ,12,U,10.2,0.8,3.77E-02,-3.3,CDS,sRNA,methyl-directed mismatch repair protein,-,4396965,4396975,+,3348702,3348719,+,149,182546,23073099,35,1583,8.6,215.8,EG11281,G0-8871,arcZ::mutL,129
yidC,arcZ,29,U,9.1,0.8,2.37E-11,-6.3,CDS,sRNA,membrane protein insertase,-,3883036,3883293,+,3348692,3348719,+,387,189795,23065595,88,3175,8.8,111.9,EG11197,G0-8871,arcZ::yidC,287
mrp,arcZ,41,2,8.3,0.8,1.07E-16,-10.2,CDS,sRNA,antiporter inner membrane protein,-,2191918,2192077,-,3348699,3348719,+,602,189783,23065380,126,3175,9.5,111.9,EG10611,G0-8871,arcZ::mrp,126
hemX,arcZ,48,1,6.7,0.7,1.11E-16,-4.6,CDS,sRNA,predicted uroporphyrinogen III methyltransferase,-,3986926,3987189,-,3348699,3348719,+,872,189776,23065110,153,3175,11.3,111.9,EG10433,G0-8871,arcZ::hemX,87
dppF,arcZ,66,2,10.8,0.7,1.46E-36,-9.0,CDS,sRNA,dipeptide transporter,-,3700522,3700799,-,3348689,3348719,+,740,189758,23065242,234,3175,6.4,111.9,EG12628,G0-8871,arcZ::dppF,46
oppA,arcZ,196,3,1.7,0.7,4.44E-05,-8.7,CDS,sRNA,oligopeptide transporter subunit,-,1299602,1299959,+,3348636,3348720,+,14081,189628,23051901,654,3175,40.9,111.9,EG10674,G0-8871,arcZ::oppA,147
grcA.5UTR,arcZ,104,2,4.3,0.6,5.85E-26,-7.2,5UTR,sRNA,-,-,2714406,2714544,-,3348699,3348720,+,2950,189720,23063032,363,3175,15.7,111.9,EG11784.5UTR,G0-8871,arcZ::grcA,79
rhlB,arcZ,33,1,5.4,0.6,2.38E-07,-16.8,CDS,sRNA,ATP-dependent RNA helicase,-,3962871,3962998,-,3348690,3348719,+,745,189791,23065237,116,3175,12.6,111.9,EG10844,G0-8871,arcZ::rhlB,182
cspD,arcZ,505,3,9.7,0.6,4.77E-291,-9.7,CDS,sRNA,"inhibitor of DNA replication, cold shock protein homolog",-,921602,921798,-,3348643,3348720,+,6316,189319,23059666,2083,3175,6.1,111.9,EG11111,G0-8871,arcZ::cspD,35
cysB,arcZ,70,U,2.3,0.6,3.62E-03,-5.0,CDS,sRNA,"DNA-binding transcriptional dual regulator, O-acetyl-L-serine-binding",-,1331801,1332245,+,3348701,3348720,+,3847,182488,23069401,287,1583,25.5,215.8,EG10184,G0-8871,arcZ::cysB,39
yjgA,arcZ,24,2,5.5,0.6,1.23E-04,-9.5,CDS,sRNA,"conserved protein, ribosome-associated",-,4455418,4455697,-,3348692,3348719,+,528,189800,23065454,99,3175,10.4,111.9,EG11410,G0-8871,arcZ::yjgA,294
yigA,arcZ,19,1,8.6,0.5,3.06E-05,-9.4,CDS,sRNA,"conserved protein, DUF484 family",-,3993496,3993698,+,3348684,3348720,+,269,189805,23065713,81,3175,6.7,111.9,EG11201,G0-8871,arcZ::yigA,289
tpx,arcZ,47,2,12.4,0.5,5.09E-27,-4.4,CDS,sRNA,lipid hydroperoxide peroxidase,-,1386726,1386870,-,3348699,3348720,+,460,189777,23065522,213,3175,4.5,111.9,G6660,G0-8871,arcZ::tpx,222
glpK,arcZ,1201,3,4.8,0.5,0.00E+00,-8.5,CDS,sRNA,glycerol kinase,-,4115002,4115490,-,3348646,3348721,+,30439,188623,23035543,5324,3175,11.1,111.9,EG10398,G0-8871,arcZ::glpK,69
thrS,arcZ,63,2,10.5,0.5,4.93E-34,-5.1,CDS,sRNA,threonyl-tRNA synthetase,-,1799426,1799699,-,3348702,3348720,+,756,182495,23072492,301,1583,5.1,215.8,EG11001,G0-8871,arcZ::thrS,214
talB,arcZ,15,U,7.4,0.5,3.01E-02,-5.0,CDS,sRNA,transaldolase B,-,8221,8286,+,3348702,3348719,+,255,182543,23072993,71,1583,7.1,215.8,EG11556,G0-8871,arcZ::talB,210
aspA,arcZ,509,3,11.7,0.5,0.00E+00,-11.2,CDS,sRNA,aspartate ammonia-lyase,-,4366002,4366455,-,3348686,3348720,+,5278,189315,23060704,2524,3175,4.3,111.9,EG10095,G0-8871,arcZ::aspA,22
minD,arcZ,25,U,4.9,0.5,1.80E-03,-4.2,CDS,sRNA,membrane ATPase of the MinC-MinD-MinE system,-,1223931,1224086,-,3348700,3348719,+,623,189799,23065359,117,3175,10.4,111.9,EG10597,G0-8871,arcZ::minD,122
gatZ,arcZ,256,2,3.7,0.5,8.73E-60,-6.7,CDS,sRNA,"D-tagatose 1,6-bisphosphate aldolase 2, subunit",-,2173103,2173293,-,3348688,3348719,+,8323,189568,23057659,1207,3175,13.3,111.9,G7128,G0-8871,arcZ::gatZ,65
pykA,arcZ,41,1,5.6,0.5,6.93E-11,-9.5,CDS,sRNA,pyruvate kinase II,-,1935612,1935959,+,3348701,3348720,+,929,182517,23072319,203,1583,8.9,215.8,EG10803,G0-8871,arcZ::pykA,169
osmY,arcZ,47,1,5.3,0.5,1.87E-12,-6.4,CDS,sRNA,periplasmic protein,-,4609635,4609795,+,3348685,3348719,+,1072,189777,23064910,233,3175,9.0,111.9,EG11391,G0-8871,arcZ::osmY,151
ryeA,arcZ,232,2,2.7,0.5,5.92E-32,-9.5,other-ncRNA,sRNA,-,-,1921102,1921193,+,3348662,3348720,+,10389,189592,23055593,1136,3175,17.5,111.9,G0-8865,G0-8871,arcZ::ryeA,5
yhcB,arcZ,51,U,3.2,0.4,1.10E-05,-4.9,CDS,sRNA,conserved protein,-,3378128,3378379,+,3348698,3348720,+,1917,189773,23064065,258,3175,14.3,111.9,G7681,G0-8871,arcZ::yhcB,280
ydfW.flxA.IGR,arcZ,35,2,5.5,0.4,1.86E-08,-1.5,IGR,sRNA,Qin prophage; predicted protein : -,-,1645075,1645144,-,3348711,3348719,+,799,182523,23072449,203,1583,7.7,215.8,G6834.G6833.IGR,G0-8871,arcZ::ydfW.flxA.IGR,56
rpoB,arcZ,23,U,6.8,0.4,1.65E-05,-4.8,CDS,sRNA,"RNA polymerase, beta subunit",-,4182311,4182370,+,3348702,3348720,+,426,182535,23072822,138,1583,6.1,215.8,EG10894,G0-8871,arcZ::rpoB,187
rodZ,arcZ,35,U,3.5,0.4,4.72E-03,-9.3,CDS,sRNA,cytoskeletal protein required for MreB assembly,-,2640305,2640769,-,3348690,3348720,+,1225,189789,23064757,223,3175,10.6,111.9,EG10015,G0-8871,arcZ::rodZ,186
sthA,arcZ,15,U,7.8,0.3,1.78E-02,-5.8,CDS,sRNA,"pyridine nucleotide transhydrogenase, soluble",-,4157415,4157577,-,3348700,3348719,+,235,189809,23065747,99,3175,4.7,111.9,EG11428,G0-8871,arcZ::sthA,205
trxA.5UTR,arcZ,21,1,7.1,0.3,6.97E-05,-3.9,5UTR,sRNA,thioredoxin 1,-,3963712,3963741,+,3348700,3348720,+,359,189803,23065623,139,3175,5.1,111.9,EG11031.5UTR,G0-8871,arcZ::trxA,224
dps,arcZ,223,2,2.5,0.3,5.20E-26,-8.7,CDS,sRNA,Fe-binding and storage protein,-,848001,848171,-,3348637,3348720,+,10778,189601,23055204,1489,3175,13.8,111.9,EG11415,G0-8871,arcZ::dps,47
osmC,arcZ,48,1,4.0,0.3,2.93E-08,-5.4,CDS,sRNA,"Lipoyl-dependent Cys-based peroxidase, hydroperoxide resistance; salt-shock inducible membrane protein; peroxiredoxin",-,1554624,1554844,+,3348699,3348720,+,1455,189776,23064527,329,3175,8.5,111.9,EG10680,G0-8871,arcZ::osmC,149
ygiW,arcZ,27,1,4.2,0.3,1.00E-02,-6.5,CDS,sRNA,conserved protein,-,3167552,3167694,-,3348700,3348719,+,789,189797,23065193,204,3175,7.5,111.9,G7574,G0-8871,arcZ::ygiW,279
oppA,arcZ,32,3,3.9,0.3,4.93E-04,-8.3,CDS,sRNA,oligopeptide transporter subunit,-,1300303,1300396,+,3348700,3348720,+,1003,189792,23064979,272,3175,7.1,111.9,EG10674,G0-8871,arcZ::oppA,146
ompA,arcZ,89,2,3.6,0.2,7.26E-17,-4.1,CDS,sRNA,outer membrane protein A (3a;II*;G;d),-,1018404,1018590,-,3348702,3348720,+,3093,182469,23070155,1065,1583,5.6,215.8,EG10669,G0-8871,arcZ::ompA,139
fusA,arcZ,70,2,2.5,0.1,5.43E-05,-7.3,CDS,sRNA,"protein chain elongation factor EF-G, GTP-binding",-,3469440,3469598,-,3348624,3348720,+,3339,189754,23062643,1608,3175,4.0,111.9,EG10360,G0-8871,arcZ::fusA,61
fusA,arcZ,10,2,15.6,0.1,3.07E-03,-4.5,CDS,sRNA,"protein chain elongation factor EF-G, GTP-binding",-,3469605,3469665,-,3348628,3348685,+,2057,7256,23246483,609,1592,6.4,8.5,EG10360,G0-8871,arcZ::fusA,60
rmf,arcZ,593,2,1.5,0.1,8.71E-15,-12.7,CDS,sRNA,ribosome modulation factor,-,1014505,1015000,+,3348630,3348720,+,47493,189231,23018489,18440,3175,4.9,111.9,EG50004,G0-8871,arcZ::rmf,185
leuP,arcZ,41,U,4.6,0.0,4.36E-08,-2.2,tRNA,sRNA,Leu tRNA,-,4604270,4604276,-,3348701,3348720,+,1134,182517,23072114,707067,1583,0.0,215.8,EG30047,G0-8871,arcZ::leuP,104
gcvB,argT.5UTR,186,2,3.5,1.7,3.86E-38,-22.3,sRNA,5UTR,-,lysine/arginine/ornithine transporter subunit,2940717,2940888,+,2425714,2425937,-,332897,3642,22919081,3365,146,185.2,49.1,G0-8867,EG10072.5UTR,argT::gcvB,657
ftsA.ftsZ.IGT,ariR.ymgC.IGT,53,3,137.5,77.9,2.52E-85,-9.8,IGT,IGT,ATP-binding cell division protein involved in recruitment of FtsK to Z ring : GTP-binding tubulin-like cell division protein,connector protein for RcsB regulation of biofilm and acid-resistance : predicted protein,105110,105268,+,1215924,1215938,+,4659,1924,23249170,149,4,59.2,924.9,EG10339.EG10347.IGT,G6606.G6607.IGT,ariR.ymgC.IGT::ftsA.ftsZ.IGT,1615
kgtP,ariR.ymgC.IGT,42,3,21.9,19.5,6.41E-34,-9.8,CDS,IGT,alpha-ketoglutarate transporter,connector protein for RcsB regulation of biofilm and acid-resistance : predicted protein,2723752,2723825,-,1215927,1215938,+,23028,1935,23230801,466,4,92.6,924.9,EG10522,G6606.G6607.IGT,ariR.ymgC.IGT::kgtP,1616
bssR,ariR.ymgC.IGT,39,2,45.5,0.8,3.94E-43,-5.7,CDS,IGT,repressor of biofilm formation by indole transport regulation,connector protein for RcsB regulation of biofilm and acid-resistance : predicted protein,877452,877824,+,1215931,1215940,+,10276,1938,23243553,10600,4,1.8,924.9,G6436,G6606.G6607.IGT,ariR.ymgC.IGT::bssR,1614
gcvB,aroC.prmB.IGT,63,3,10.6,4.8,1.28E-34,-14.0,sRNA,IGT,-,chorismate synthase : N5-glutamine methyltransferase,2940718,2940792,+,2445425,2445553,-,105026,1307,23149410,2590,39,75.9,65.7,G0-8867,EG10075.EG12449.IGT,aroC.prmB.IGT::gcvB,659
ymgE.EST5UTR,arrS,86,3,258.8,156.4,5.74E-158,-7.5,5UTR,cis_AS_with_trans_t,predicted inner membrane protein,-,1243900,1243981,+,3656007,3656039,-,182,42384,23213154,7,737,71.6,107.8,G6624.EST5UTR.27,G0-10694,arrS::ymgE,1654
nlpD,arrS,6496,3,28.9,27.0,0.00E+00,-8.6,CDS,cis_AS_with_trans_t,"activator of AmiC murein hydrolase activity, lipoprotein",-,2865431,2865888,-,3656005,3656054,-,144374,35974,23068962,2903,737,97.3,107.8,EG12111,G0-10694,arrS::nlpD,1641
fdhD.fdoG.IGR,arrS,3033,3,49.7,23.1,0.00E+00,-15.3,IGR,cis_AS_with_trans_t,"formate dehydrogenase-O, large subunit : formate dehydrogenase formation protein",-,4083552,4083993,-,3656005,3656041,-,35850,39437,23177486,1509,737,48.2,107.8,EG11859.EG11858.IGR,G0-10694,arrS::fdhD.fdoG.IGR,1630
yibF.5UTR,arrS,13,U,30.5,16.9,1.16E-08,-4.6,5UTR,cis_AS_with_trans_t,glutathione S-transferase homolog,-,3759957,3760004,-,3656008,3656031,-,233,42457,23213103,7,737,65.8,107.8,EG11762.5UTR,G0-10694,arrS::yibF,1653
yeeN,arrS,20,1,120.2,16.0,3.78E-27,-8.1,CDS,cis_AS_with_trans_t,"conserved protein, UPF0082 family",-,2054905,2054987,+,3656007,3656045,-,91,42450,23213245,14,737,14.8,107.8,G7068,G0-10694,arrS::yeeN,1652
